Course Of Sales
Time,Price ($),Volume,Value ($),Condition
16/03/2016 03:58:56 PM,16.55,70,1158.15,NXXT
16/03/2016 03:58:56 PM,16.54,2,33.08,
16/03/2016 03:58:54 PM,16.55,26,430.30,
16/03/2016 03:58:52 PM,16.54,1,16.54,
16/03/2016 03:58:52 PM,16.54,57,942.78,
16/03/2016 03:58:51 PM,16.54,8,132.32,
16/03/2016 03:58:50 PM,16.55,752,12445.60,
16/03/2016 03:58:50 PM,16.55,113,1870.15,
16/03/2016 03:58:49 PM,16.55,104,1721.20,
16/03/2016 03:58:49 PM,16.55,546,9036.30,
16/03/2016 03:58:45 PM,16.54,20,330.80,
16/03/2016 03:58:43 PM,16.55,113,1870.15,
16/03/2016 03:58:39 PM,16.55,135,2234.25,
16/03/2016 03:58:38 PM,16.54,13,215.02,
16/03/2016 03:58:37 PM,16.55,113,1870.15,
16/03/2016 03:58:31 PM,16.55,112,1853.60,
16/03/2016 03:58:30 PM,16.54,1,16.54,
16/03/2016 03:58:29 PM,16.54,10,165.40,
16/03/2016 03:58:28 PM,16.54,546,9030.84,
16/03/2016 03:58:28 PM,16.54,1,16.54,
16/03/2016 03:58:27 PM,16.54,7,115.78,
16/03/2016 03:58:26 PM,16.54,6,99.24,
16/03/2016 03:58:25 PM,16.54,343,5673.22,
16/03/2016 03:58:25 PM,16.54,133,2199.82,
16/03/2016 03:58:24 PM,16.55,230,3805.35,CXXT
16/03/2016 03:58:24 PM,16.54,2531,41862.74,
16/03/2016 03:58:24 PM,16.54,2958,48925.32,
16/03/2016 03:58:24 PM,16.54,65,1075.10,
16/03/2016 03:58:24 PM,16.54,59,975.86,
16/03/2016 03:58:23 PM,16.54,32,529.28,
16/03/2016 03:58:21 PM,16.55,128,2118.40,
16/03/2016 03:58:16 PM,16.55,100,1655.00,
16/03/2016 03:58:14 PM,16.55,112,1853.60,
16/03/2016 03:58:10 PM,16.54,93,1538.22,
16/03/2016 03:58:08 PM,16.54,69,1141.26,
16/03/2016 03:58:08 PM,16.54,69,1141.26,
16/03/2016 03:58:07 PM,16.55,101,1671.55,
16/03/2016 03:58:07 PM,16.55,113,1870.15,
16/03/2016 03:58:07 PM,16.55,633,10476.15,
16/03/2016 03:58:04 PM,16.54,6,99.24,
16/03/2016 03:58:04 PM,16.54,2,33.08,
16/03/2016 03:58:04 PM,16.54,16,264.64,
16/03/2016 03:58:04 PM,16.54,52,860.08,
16/03/2016 03:58:03 PM,16.54,1,16.54,
16/03/2016 03:58:03 PM,16.54,50,827.00,
16/03/2016 03:58:03 PM,.00,0,.00,
16/03/2016 03:58:01 PM,16.54,2,33.08,
16/03/2016 03:58:01 PM,16.55,113,1870.15,
