Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
28413597,2019.07.29 14:10:06,buy,0.01,eurusd,1.11185,0,0,2019.07.29 14:10:24,1.1118,0,0,0,-0.07
28413610,2019.07.29 14:10:43,buy,0.01,eurusd,1.11185,0,0,2019.07.29 14:13:34,1.11202,0,0,0,0.25
28413792,2019.07.29 14:18:21,sell,0.01,eurusd,1.11216,1.11321,1.11065,2019.07.29 15:49:12,1.11321,0,0,0,-1.52
28414425,2019.07.29 14:43:03,sell,0.01,eurusd,1.11244,0,0,2019.07.29 15:25:17,1.11295,0,0,0,-0.74
28415115,2019.07.29 15:04:26,sell,0.01,eurusd,1.11305,0,0,2019.07.29 15:25:09,1.11289,0,0,0,0.23
28434230,2019.07.30 13:33:45,buy,0.01,eurusd,1.1146,0,0,2019.07.30 13:57:06,1.11507,0,0,0,0.68
28434995,2019.07.30 09:11:13,buy,0.01,eurusd,1.11439,0,0,2019.07.30 09:26:50,1.11448,0,0,0,0.13
28435513,2019.07.30 09:36:18,buy,0.01,eurusd,1.11446,0,0,2019.07.30 10:43:17,1.11456,0,0,0,0.14
28436416,2019.07.30 10:14:29,buy,0.01,eurusd,1.11433,0,0,2019.07.30 10:43:26,1.11451,0,0,0,0.26
28437340,2019.07.30 11:07:28,sell,0.01,eurusd,1.11513,0,1.1146,2019.07.30 11:13:25,1.11505,0,0,0,0.12
28437678,2019.07.30 11:25:23,buy,0.01,eurusd,1.11508,0,0,2019.07.30 12:55:17,1.11516,0,0,0,0.12
28437804,2019.07.30 11:31:10,buy,0.01,eurusd,1.11481,0,0,2019.07.30 12:55:32,1.11512,0,0,0,0.45
28440929,2019.07.30 14:05:49,buy,0.01,eurusd,1.11448,0,0,2019.07.30 14:19:40,1.11472,0,0,0,0.35
28441971,2019.07.30 14:44:44,buy,0.01,eurusd,1.1147,0,0,2019.07.31 02:55:37,1.11534,0,0,0,0.93
28450285,2019.07.31 02:22:48,buy,0.01,eurusd,1.11493,0,0,2019.07.31 02:57:22,1.11533,0,0,0,0.58
28452746,2019.07.31 02:42:58,balance,Interest 1 day EUR/USD 1.4625,-0.18,,,,,,,,,
28457366,2019.07.31 06:51:17,sell,0.01,eurusd,1.11563,0,0,2019.07.31 07:31:42,1.11585,0,0,0,-0.32
28457928,2019.07.31 07:31:57,buy,0.01,eurusd,1.11589,0,0,2019.08.01 00:52:14,1.10692,0,0,0,-13.14
28460030,2019.07.31 09:26:05,buy,0.01,eurusd,1.1149,0,0,2019.08.01 01:59:26,1.10409,0,0,0,-15.87
28460078,2019.07.31 15:04:13,buy,0.01,eurusd,1.11375,0,0,2019.08.01 01:59:40,1.10412,0,0,0,-14.13
28483643,2019.08.01 01:24:34,balance,Interest 3 day EUR/USD 1.4683,-1.29,,,,,,,,,
28487168,2019.08.01 02:00:24,sell,0.01,eurusd,1.10398,1.1053,0,2019.08.01 05:59:58,1.1053,0,0,0,-1.93
28487266,2019.08.01 02:09:10,buy,0.01,eurusd,1.10445,0,0,2019.08.01 03:05:00,1.10481,0,0,0,0.52
29012042,2019.08.26 01:12:56,buy,0.01,audusd,0.67164,0,0,2019.08.26 04:26:25,0.67417,0,0,0,3.74
29012044,2019.08.26 01:13:05,sell,0.01,nzdusd,0.63705,0,0,2019.08.26 04:26:41,0.6387,0,0,0,-2.45
29018746,2019.08.26 05:05:07,sell,0.01,audusd,0.67432,0,0,2019.08.28 02:57:35,0.6746,0,0,0,-0.42
29018748,2019.08.26 05:05:17,buy,0.01,nzdusd,0.63871,0,0,2019.08.28 06:12:34,0.63317,0,0,0,-8.25
29028678,2019.08.26 12:28:50,sell,0.01,audusd,0.6766,0,0,2019.08.28 02:57:01,0.67457,0,0,0,3
