,index,open,high,low,close,volume,adjusted,created_date,last_updated,pandas_SMA_200,signal,365-Day-High,365-Day-Low
519,2017-03-09,19.5881,19.5881,19.5881,19.5881,0,17.0612,2020-03-07 15:05:17,2020-03-07 15:05:17,18.484810499999995,1.103289500000006,19.65,17.1341
520,2017-03-10,19.7031,19.7031,19.7031,19.7031,0,17.1614,2020-03-07 15:05:17,2020-03-07 15:05:17,18.493935999999998,1.2091640000000012,19.7031,17.1341
521,2017-03-13,19.6229,19.6229,19.6229,19.6229,0,17.0915,2020-03-07 15:05:17,2020-03-07 15:05:17,18.501378999999996,1.1215210000000049,19.7031,17.1341
522,2017-03-14,19.6162,19.6162,19.6162,19.6162,0,17.0857,2020-03-07 15:05:17,2020-03-07 15:05:17,18.508488499999995,1.1077115000000042,19.7031,17.1341
523,2017-03-15,19.6817,19.6817,19.6817,19.6817,0,17.1428,2020-03-07 15:05:17,2020-03-07 15:05:17,18.515396999999993,1.1663030000000063,19.7031,17.1341
524,2017-03-16,19.7,19.7,19.7,19.7,109,17.1587,2020-03-07 15:05:17,2020-03-07 15:05:17,18.522588999999993,1.1774110000000064,19.7031,17.1341
525,2017-03-17,19.7464,19.7464,19.7464,19.7464,0,17.1991,2020-03-07 15:05:17,2020-03-07 15:05:17,18.52992099999999,1.2164790000000103,19.7464,17.1341
526,2017-03-20,19.686,19.686,19.686,19.686,0,17.1465,2020-03-07 15:05:17,2020-03-07 15:05:17,18.538524499999994,1.1474755000000059,19.7464,17.1341
527,2017-03-21,19.65,19.65,19.65,19.65,23,17.1152,2020-03-07 15:05:17,2020-03-07 15:05:17,18.547824499999994,1.1021755000000049,19.7464,17.1341
528,2017-03-22,19.4,19.4,19.34,19.34,226,16.8451,2020-03-07 15:05:17,2020-03-07 15:05:17,18.554874499999997,0.785125500000003,19.7464,17.1341
529,2017-03-23,19.4207,19.4207,19.4207,19.4207,0,16.9154,2020-03-07 15:05:17,2020-03-07 15:05:17,18.561527999999996,0.8591720000000045,19.7464,17.1341
530,2017-03-24,19.595,19.595,19.595,19.595,0,17.0672,2020-03-07 15:05:17,2020-03-07 15:05:17,18.568952999999993,1.0260470000000055,19.7464,17.1341
531,2017-03-27,19.5684,19.5684,19.5684,19.5684,0,17.0441,2020-03-07 15:05:17,2020-03-07 15:05:17,18.576211999999995,0.9921880000000058,19.7464,17.1341
532,2017-03-28,19.72,19.72,19.72,19.72,127,17.1761,2020-03-07 15:05:17,2020-03-07 15:05:17,18.584487499999994,1.1355125000000044,19.7464,17.1341
533,2017-03-29,19.97,19.97,19.97,19.97,454,17.3939,2020-03-07 15:05:17,2020-03-07 15:05:17,18.594987499999995,1.375012500000004,19.97,17.1341
534,2017-03-30,20.1044,20.1044,20.1044,20.1044,0,17.5109,2020-03-07 15:05:17,2020-03-07 15:05:17,18.608009499999994,1.496390500000004,20.1044,17.1341
535,2017-03-31,19.9839,19.9839,19.9839,19.9839,0,17.406,2020-03-07 15:05:17,2020-03-07 15:05:17,18.620579,1.3633209999999991,20.1044,17.1341
536,2017-04-03,19.97,19.97,19.93,19.93,925,17.359,2020-03-07 15:05:17,2020-03-07 15:05:17,18.633179,1.2968210000000013,20.1044,17.1341
537,2017-04-04,19.98,19.98,19.98,19.98,10,17.4026,2020-03-07 15:05:17,2020-03-07 15:05:17,18.645179,1.3348210000000016,20.1044,17.1341
538,2017-04-05,20.03,20.03,20.02,20.02,1554,17.4374,2020-03-07 15:05:17,2020-03-07 15:05:17,18.6565035,1.3634965000000001,20.1044,17.1341
539,2017-04-06,19.9574,19.9574,19.9574,19.9574,0,17.3829,2020-03-07 15:05:17,2020-03-07 15:05:17,18.6675115,1.2898885,20.1044,17.1341
540,2017-04-07,20.03,20.03,20.03,20.03,298,17.4461,2020-03-07 15:05:17,2020-03-07 15:05:17,18.6786115,1.3513885000000023,20.1044,17.1341
541,2017-04-10,20.15,20.15,20.1,20.1,496,17.5071,2020-03-07 15:05:17,2020-03-07 15:05:17,18.6916115,1.408388500000001,20.15,17.1341
542,2017-04-11,20.237,20.237,20.237,20.237,0,17.6264,2020-03-07 15:05:17,2020-03-07 15:05:17,18.7063805,1.5306194999999967,20.237,17.1341
543,2017-04-12,20.2869,20.2869,20.2869,20.2869,0,17.6699,2020-03-07 15:05:17,2020-03-07 15:05:17,18.7217985,1.5651015000000008,20.2869,17.1341
544,2017-04-13,20.13,20.13,20.13,20.13,149,17.5332,2020-03-07 15:05:17,2020-03-07 15:05:17,18.736778,1.393221999999998,20.2869,17.14
545,2017-04-18,20.13,20.13,20.13,20.13,50,17.5332,2020-03-07 15:05:17,2020-03-07 15:05:17,18.750028,1.3799719999999986,20.2869,17.14
546,2017-04-19,19.89,19.89,19.89,19.89,121,17.3242,2020-03-07 15:05:17,2020-03-07 15:05:17,18.761678,1.1283220000000007,20.2869,17.14
547,2017-04-20,19.89,19.89,19.89,19.89,49,17.3242,2020-03-07 15:05:17,2020-03-07 15:05:17,18.7732575,1.1167425000000009,20.2869,17.14
548,2017-04-21,20.01,20.01,20.0,20.0,348,17.42,2020-03-07 15:05:17,2020-03-07 15:05:17,18.786275,1.2137250000000002,20.2869,17.14
549,2017-04-24,20.0594,20.0594,20.0594,20.0594,0,17.4717,2020-03-07 15:05:17,2020-03-07 15:05:17,18.800872000000002,1.2585279999999983,20.2869,17.2
550,2017-04-26,20.23,20.23,20.23,20.23,490,17.6203,2020-03-07 15:05:17,2020-03-07 15:05:17,18.815172000000004,1.4148279999999964,20.2869,17.2
551,2017-04-27,20.2347,20.2347,20.2347,20.2347,0,17.6244,2020-03-07 15:05:17,2020-03-07 15:05:17,18.830345500000004,1.4043544999999966,20.2869,17.5212
552,2017-04-28,20.2386,20.2386,20.2386,20.2386,0,17.6278,2020-03-07 15:05:17,2020-03-07 15:05:17,18.842796000000003,1.3958039999999983,20.2869,17.5212
553,2017-05-01,20.3485,20.3485,20.3485,20.3485,0,17.7235,2020-03-07 15:05:17,2020-03-07 15:05:17,18.8555005,1.4929994999999998,20.3485,17.5212
554,2017-05-02,20.25,20.25,20.25,20.25,840,17.6378,2020-03-07 15:05:17,2020-03-07 15:05:17,18.867300500000002,1.3826994999999975,20.3485,17.5212
555,2017-05-03,20.11,20.11,20.11,20.11,8,17.5158,2020-03-07 15:05:17,2020-03-07 15:05:17,18.878000500000006,1.2319994999999935,20.3485,17.5212
556,2017-05-04,20.0,20.0,20.0,20.0,1498,17.42,2020-03-07 15:05:17,2020-03-07 15:05:17,18.887550500000003,1.1124494999999968,20.3485,17.5212
557,2017-05-08,20.03,20.08,19.99,19.99,12550,17.4113,2020-03-07 15:05:17,2020-03-07 15:05:17,18.896850500000003,1.0931494999999956,20.3485,17.5212
558,2017-05-09,19.8645,19.8645,19.8645,19.8645,0,17.302,2020-03-07 15:05:17,2020-03-07 15:05:17,18.905773000000003,0.9587269999999961,20.3485,17.5212
559,2017-05-10,19.96,19.96,19.96,19.96,8,17.3852,2020-03-07 15:05:17,2020-03-07 15:05:17,18.914376500000003,1.0456234999999978,20.3485,17.5212
560,2017-05-11,20.11,20.11,20.09,20.09,2375,17.4984,2020-03-07 15:05:17,2020-03-07 15:05:17,18.922826500000003,1.167173499999997,20.3485,17.5212
561,2017-05-12,19.95,19.96,19.95,19.96,185,17.3852,2020-03-07 15:05:17,2020-03-07 15:05:17,18.9311265,1.0288734999999996,20.3485,17.5212
562,2017-05-15,19.85,19.85,19.85,19.85,228,17.2894,2020-03-07 15:05:17,2020-03-07 15:05:17,18.938326500000002,0.9116734999999991,20.3485,17.5212
563,2017-05-16,20.08,20.08,19.95,19.95,174,17.3765,2020-03-07 15:05:17,2020-03-07 15:05:17,18.9462765,1.0037234999999995,20.3485,17.5212
564,2017-05-17,19.76,19.76,19.75,19.76,4727,17.211,2020-03-07 15:05:17,2020-03-07 15:05:17,18.952809000000002,0.8071909999999995,20.3485,17.5212
565,2017-05-18,19.56,19.56,19.56,19.56,19,17.0368,2020-03-07 15:05:17,2020-03-07 15:05:17,18.958113,0.6018869999999978,20.3485,17.5212
566,2017-05-19,19.66,19.66,19.51,19.56,81006,17.0368,2020-03-07 15:05:17,2020-03-07 15:05:17,18.963467,0.5965329999999973,20.3485,17.5212
567,2017-05-22,19.7084,19.7084,19.7084,19.7084,0,17.166,2020-03-07 15:05:17,2020-03-07 15:05:17,18.968909,0.739491000000001,20.3485,17.5212
568,2017-05-23,19.65,19.65,19.65,19.65,1000,17.1152,2020-03-07 15:05:17,2020-03-07 15:05:17,18.974309,0.6756909999999969,20.3485,17.5212
569,2017-05-24,19.8,19.8,19.68,19.68,181,17.1413,2020-03-07 15:05:17,2020-03-07 15:05:17,18.9819075,0.6980925000000013,20.3485,17.5212
570,2017-05-25,19.66,19.66,19.66,19.66,500,17.1239,2020-03-07 15:05:17,2020-03-07 15:05:17,18.989157499999997,0.6708425000000027,20.3485,17.5212
571,2017-05-26,19.65,19.65,19.65,19.65,500,17.1152,2020-03-07 15:05:17,2020-03-07 15:05:17,18.9959575,0.6540424999999992,20.3485,17.5212
572,2017-05-29,19.4657,19.4657,19.4657,19.4657,0,16.9546,2020-03-07 15:05:17,2020-03-07 15:05:17,19.001203500000003,0.46449649999999565,20.3485,17.5212
573,2017-05-30,19.43,19.43,19.43,19.43,1000,16.9235,2020-03-07 15:05:17,2020-03-07 15:05:17,19.006003500000002,0.42399649999999767,20.3485,17.5212
574,2017-05-31,19.44,19.44,19.44,19.44,857,16.9322,2020-03-07 15:05:17,2020-03-07 15:05:17,19.011253500000002,0.42874649999999903,20.3485,17.5212
575,2017-06-01,19.5642,19.5642,19.5642,19.5642,0,17.0404,2020-03-07 15:05:17,2020-03-07 15:05:17,19.016969500000002,0.5472304999999977,20.3485,17.5212
576,2017-06-02,19.72,19.72,19.72,19.72,63,17.1761,2020-03-07 15:05:17,2020-03-07 15:05:17,19.023368,0.6966319999999975,20.3485,17.5212
577,2017-06-05,19.5866,19.5866,19.5866,19.5866,0,17.0599,2020-03-07 15:05:17,2020-03-07 15:05:17,19.029101,0.557499,20.3485,17.5212
578,2017-06-06,19.4,19.4,19.4,19.4,7500,16.8974,2020-03-07 15:05:17,2020-03-07 15:05:17,19.034001,0.36599899999999863,20.3485,17.5212
579,2017-06-07,19.5,19.5,19.5,19.5,500,16.9845,2020-03-07 15:05:17,2020-03-07 15:05:17,19.0396025,0.4603974999999991,20.3485,17.5212
580,2017-06-08,19.3248,19.3248,19.3248,19.3248,0,16.8319,2020-03-07 15:05:17,2020-03-07 15:05:17,19.044276500000002,0.2805234999999975,20.3485,17.5212
581,2017-06-09,19.3239,19.3239,19.3239,19.3239,0,16.8311,2020-03-07 15:05:17,2020-03-07 15:05:17,19.048646,0.2752539999999968,20.3485,17.5212
582,2017-06-13,19.6774,19.6774,19.6774,19.6774,0,17.139,2020-03-07 15:05:17,2020-03-07 15:05:17,19.054378,0.6230219999999989,20.3485,17.5212
583,2017-06-14,19.83,19.83,19.83,19.83,2000,17.2719,2020-03-07 15:05:17,2020-03-07 15:05:17,19.0604945,0.7695054999999975,20.3485,17.5212
584,2017-06-15,19.59,19.59,19.59,19.59,5,17.0629,2020-03-07 15:05:17,2020-03-07 15:05:17,19.0656725,0.5243274999999983,20.3485,17.5212
585,2017-06-16,19.7,19.7,19.7,19.7,121,17.1587,2020-03-07 15:05:17,2020-03-07 15:05:17,19.0719165,0.6280834999999989,20.3485,17.5212
586,2017-06-19,19.76,19.76,19.76,19.76,100,17.211,2020-03-07 15:05:17,2020-03-07 15:05:17,19.079366500000003,0.680633499999999,20.3485,17.5212
587,2017-06-20,19.5856,19.5856,19.5856,19.5856,0,17.0591,2020-03-07 15:05:17,2020-03-07 15:05:17,19.085494000000004,0.5001059999999953,20.3485,17.5212
588,2017-06-21,19.5,19.5,19.32,19.32,2675,16.8277,2020-03-07 15:05:17,2020-03-07 15:05:17,19.089794000000005,0.23020599999999547,20.3485,17.5212
589,2017-06-22,19.35,19.35,19.35,19.35,33,16.8539,2020-03-07 15:05:17,2020-03-07 15:05:17,19.095702000000003,0.2542979999999986,20.3485,17.5212
590,2017-06-23,19.39,19.39,19.39,19.39,107,16.8887,2020-03-07 15:05:17,2020-03-07 15:05:17,19.102552000000003,0.2874479999999977,20.3485,17.5212
