Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
SEA,Sundance Energy,Energy,"189,052,000",0.01,,,
SEK,Seek Limited,Industrials,"7,448,550,000",0.38,,,
SFR,Sandfire Resources,Materials,"1,067,450,000",0.05,,,
SGF,SG Fleet Group Limited,Industrials,"772,594,000",0.04,,,
SGM,Sims Metal MGMT Limited,Materials,"2,201,660,000",0.11,,,
SGP,Stockland,Real Estate,"9,942,750,000",0.5,,,
SGR,The Star Ent Group,Consumer Discretionary,"3,779,370,000",0.19,,,
SHL,Sonic Healthcare,Health Care,"12,842,400,000",0.65,,,
SHV,Select Harvests,Consumer Staples,"692,159,000",0.04,,,
SIG,Sigma Health Limited,Health Care,"587,990,000",0.03,,,
SIQ,Smartgrp Corporation,Industrials,"1,100,000,000",0.06,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,415,160,000",0.12,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"4,087,290,000",0.21,,,
SLC,Superloop Limited,Telecommunication Services,"390,084,000",0.02,,,
SLK,Sealink Travel Group,Consumer Discretionary,"386,445,000",0.02,,,
SLR,Silver Lake Resource,Materials,"1,026,810,000",0.05,,,
SOL,Soul Pattinson (W.H),Energy,"5,264,300,000",0.27,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"6,995,890,000",0.36,,,
SPL,Starpharma Holdings,Health Care,"505,504,000",0.03,,,
SSM,Service Stream,Industrials,"1,128,550,000",0.06,,,
STO,Santos Limited,Energy,"14,747,000,000",0.75,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,624,470,000",0.08,,,
SUN,Suncorp Group Limited,Financials,"17,490,800,000",0.89,,,
SVW,Seven Group Holdings,Industrials,"6,274,720,000",0.32,,,
SWM,Seven West Media Limited,Consumer Discretionary,"701,236,000",0.04,,,
SXL,STHN Cross Media,Consumer Discretionary,"961,267,000",0.05,,,
SXY,SENEX Energy Limited,Energy,"515,840,000",0.03,,,
SYD,SYD Airport,Industrials,"18,146,900,000",0.92,,,
SYR,Syrah Resources,Materials,"303,142,000",0.02,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"8,985,870,000",0.46,,,
TCL,Transurban Group,Industrials,"39,433,900,000",2,,,
